iter	Passed	Remaining
0	14	1397
1	19	969
2	25	811
3	29	715
4	34	653
5	39	611
6	43	582
7	48	561
8	53	544
9	59	532
10	63	515
11	68	501
12	73	490
13	78	479
14	82	469
15	87	460
16	92	452
17	97	443
18	102	434
19	106	427
20	111	419
21	116	411
22	120	404
23	125	398
24	130	391
25	135	384
26	140	378
27	144	372
28	149	365
29	153	359
30	158	353
31	163	347
32	168	342
33	173	337
34	178	331
35	182	325
36	187	319
37	192	313
38	196	308
39	201	302
40	206	296
41	210	291
42	215	285
43	220	280
44	225	275
45	230	270
46	234	264
47	239	259
48	244	254
49	249	249
50	254	244
51	259	239
52	263	233
53	268	228
54	273	223
55	277	218
56	282	213
57	287	208
58	292	203
59	296	197
60	301	192
61	306	187
62	311	182
63	315	177
64	320	172
65	325	167
66	330	162
67	335	157
68	339	152
69	344	147
70	349	142
71	354	137
72	359	132
73	363	127
74	368	122
75	373	117
76	377	112
77	382	107
78	387	103
79	392	98
80	396	93
81	401	88
82	406	83
83	410	78
84	415	73
85	420	68
86	425	63
87	430	58
88	434	53
89	439	48
90	444	43
91	449	39
92	454	34
93	458	29
94	463	24
95	468	19
96	472	14
97	477	9
98	482	4
99	487	0
