연도,회차,일차,경주번호,경기종류,번호,등급,기수,선수명,성별,나이,체중,최근6회차_평균착순점,최근6회차_평균득점,최근6회차_승률,최근6회차_연대율2,최근6회차_연대율3,최근6회차_평균ST,최근8경주_착순,연간성적_평균착순점,연간성적_연대율,FL,평균사고점,금일출주경주,전일성적,출주횟수,코스_1코스,코스_2코스,코스_3코스,코스_4코스,코스_5코스,코스_6코스,모터번호,모터_평균착순점,모터_연대율2,모터_연대율3,전탑승선수1,전탑승선수2,보트번호,보트_평균착순점,보트_연대율,특이사항
2015,1,1,1,플라잉,1,A2,3,박정아,여,36,50,5.41,5.29,23.5,35.3,58.8,0.23,1536 6261,0,0,F0L0,0,08,,32,40.0/5,66.7/6,60.0/5,0.0/4,28.6/7,0.0/5,023,4.38,21.6,41.9,김재윤/666,정주현/56,088,4.93,33.8,
2015,1,1,1,플라잉,2,A1,4,박상현,남,36,59,5.8,5.67,13.3,40,60,0.21,2523 3244,0,0,F0L0,0,10,,19,50.0/4,100.0/3,33.3/3,33.3/3,0.0/3,66.7/3,041,4.95,31.6,50,박성민/1,오세준/43,038,5.86,37.5,
2015,1,1,1,플라잉,3,B2,12,정장훈,남,30,60,1.71,1.48,0,0,4.8,0.33,4566 6560,0,0,F0L0,0,,,19,0.0/3,0.0/4,0.0/3,0.0/3,0.0/3,0.0/3,092,4.53,24.7,40.3,김인혜/4445,문안나/612,041,5.81,40,
2015,1,1,1,플라잉,4,A2,4,구현구,남,37,61,5.8,5.17,20,40,53.3,0.24,4324 3252,0,0,F0L0,0,,,10,50.0/2,0.0/1,50.0/2,50.0/2,0.0/2,100.0/1,019,5.6,36.4,48.1,반혜진/5,반혜진/52,061,4.56,20.6,
2015,1,1,1,플라잉,5,B1,1,김대선,남,45,55,4.85,4.5,7.7,30.8,46.2,0.21,1345 5224,0,0,F0L0,0,11,,23,60.0/5,0.0/2,25.0/4,33.3/3,0.0/4,0.0/5,016,4.57,21.4,40,이주영/55,윤영일/13,059,5.03,28.8,
2015,1,1,1,플라잉,6,B1,11,박진서,남,34,55,3.81,3.72,0,12.5,37.5,0.26,5443 5335,0,0,F0L0,0,07,,23,25.0/4,25.0/4,0.0/3,0.0/4,20.0/5,0.0/3,103,5.01,29.5,46.2,박상현/25,이동준/22,073,5.29,33.8,
2015,1,1,2,플라잉,1,A2,2,윤영일,남,41,57,5.83,5.42,25,41.7,50,0.15,1213 4545,0,0,F0L0,0,09,,19,100.0/3,66.7/3,0.0/3,66.7/3,33.3/3,0.0/4,054,4.75,21.9,46.6,박준호/04,김정구/534,010,4.41,25.9,
2015,1,1,2,플라잉,2,B2,13,최진혁,남,31,59,2.6,2.27,0,6.7,13.3,0.2,5456 4656,0,0,F0L0,0,15,,22,0.0/3,0.0/4,0.0/4,20.0/5,0.0/3,0.0/3,045,6.95,53.3,69.3,손근성/25,어선규/11,036,4.01,17.6,
2015,1,1,2,플라잉,3,B1,1,정용진,남,43,55,5.42,5.13,10.5,31.6,52.6,0.2,4132 3324,0,0,F0L0,0,,,26,40.0/5,25.0/4,50.0/4,25.0/4,25.0/4,0.0/5,059,5.75,36.3,57.5,조현귀/23,전정환/353,026,5.03,33.8,
2015,1,1,2,플라잉,4,B1,13,이진휘,남,29,55,2.47,1.8,6.7,13.3,13.3,0.25,6506 6666,0,0,F0L0,0,,,24,40.0/5,25.0/4,50.0/4,0.0/3,0.0/3,0.0/5,043,4.82,30.4,46.4,김희용/16,오재빈/62,021,6.43,50,
