연도,회차,일차,경주,1위,2위,3위,단승식,연승식,쌍승식,복승식,삼복승식,쌍복승,삼쌍승,Refund
2015,45,2,01R,④ 김응선,② 최재원,⑤ 김동경,(4) 1.1,"(4) 1.0, (2) 2.2",(4-2) 2.8,(2-4) 2.1,(2-4-5) 5.9,-,-,①
2015,45,2,02R,① 이지수,④ 손제민,③ 장영태,(1) 1.6,"(1) 1.1, (4) 1.5",(1-4) 3.0,(1-4) 1.6,(1-3-4) 2.0,-,-,
2015,45,2,03R,③ 유석현,④ 정인교,⑥ 김정구,(3) 1.6,"(3) 1.3, (4) 1.8",(3-4) 3.8,(3-4) 2.8,(3-4-6) 5.6,-,-,
2015,45,2,04R,① 한종석,② 김세원,③ 강영길,(1) 1.1,"(1) 1.1, (2) 2.1",(1-2) 3.0,(1-2) 2.7,(1-2-3) 5.5,-,-,
2015,45,2,05R,③ 김민천,④ 최영재,① 강지환,(3) 7.0,"(3) 3.5, (4) 1.8",(3-4) 27.2,(3-4) 13.6,(1-3-4) 7.4,-,-,
2015,45,2,06R,① 김민준,② 박석문,⑥ 김효년,(1) 2.2,"(1) 1.5, (2) 1.2",(1-2) 3.9,(1-2) 1.9,(1-2-6) 3.5,-,-,
2015,45,2,07R,① 김종민,② 류해광,⑥ 이재학,(1) 1.3,"(1) 1.1, (2) 1.6",(1-2) 2.2,(1-2) 1.8,(1-2-6) 21.1,-,-,
2015,45,2,08R,③ 어선규,① 정주현,② 김인혜,(3) 1.2,"(3) 1.0, (1) 1.6",(3-1) 2.1,(1-3) 1.7,(1-2-3) 2.6,-,-,
2015,45,2,09R,② 장영태,① 이주영,⑤ 고일수,(2) 4.8,"(2) 1.8, (1) 1.3",(2-1) 9.7,(1-2) 2.9,(1-2-5) 9.3,-,-,
2015,45,2,10R,① 정용진,② 김정구,⑤ 김응선,(1) 1.9,"(1) 1.4, (2) 2.2",(1-2) 4.3,(1-2) 3.2,(1-2-5) 2.9,-,-,
