확정출주표,,,,,,,,,,,,,,,,,,,
2024년 09월 04일 36회 1일차,,,,,,,,,,,,,,,,,,,
제 01경주  (신인일반  11:40    플라잉   2주회1200m),,,,,,,,,,,,,,,,,,,
번,등,기,선수명,성,나,체,최근 6회차 성적,,,,,,최근8경주,연간누적성적,,F/L,사고점,금일,금회성적
호,급,수,,별,이,중,평균,평균,승률,연대율,,평균,착순,평균,연대율,,,출주,(1일째)
,,,,,,,착순점,득점,,2,3,ST/OST,,착순점,,,,경주,
1,B2,17,황동규,남,30,55,5.15,4.88,15.4,30.8,53.8,0.21,2155 5654,5.00,26.7,F0L0,0.37,,
2,B2,17,박지윤,여,23,52,5.00,4.71,8.3,25.0,41.7,0.32,3443 2421,5.00,25.0,F0L0,0.29,,
3,B2,17,임혜란,여,29,43,3.00,0.17,0.0,16.7,33.3,0.28,0665 23,3.00,16.7,F1L0,2.83,,
4,B2,17,이현지,여,24,53,4.77,4.12,7.7,30.8,30.8,0.30,5245 4554,4.77,30.8,F0L0,0.65,,
5,B2,17,임 건,남,24,58,4.77,4.65,7.7,15.4,61.5,0.23,4362 3361,4.77,15.4,F0L0,0.12,,
6,B2,17,이현준,남,24,56,8.62,8.04,46.2,84.6,100.0,0.20,2111 2322,8.62,84.6,F0L0,0.58,,
번호,선수명,최근 6개월 연대율 및 코스별 성적,,,,,,,모터성적,,,,전 탑승,,보트성적,,,특이사항,
,,출주,1코스,2코스,3코스,4코스,5코스,6코스,번호,평균,연대율,,선수/착순,,번호,평균,연대율,,
,,횟수,,,,,,,,착순점,2,3,,,,착순점,,,
1,황동규,15,50.0/2,33.3/3,00.0/2,33.3/3,33.3/3,00.0/2,075,5.66,37.9,48.3,최광성/214,곽현성/146,047,5.03,29.0,,
2,박지윤,12,50.0/2,00.0/2,50.0/2,50.0/2,00.0/2,00.0/2,061,5.39,38.7,48.4,박민성/143,김태규/2446,080,5.06,27.3,,
3,임혜란,6,00.0/1,00.0/1,00.0/1,100.0/1,00.0/1,00.0/1,025,5.93,46.4,60.7,이 인/324,이진우/322,070,5.29,23.8,F 후 출전,
4,이현지,13,50.0/2,50.0/2,50.0/2,33.3/3,00.0/2,00.0/2,014,5.44,38.9,55.6,장영태/2161,이승일/132,108,4.60,23.3,,
5,임 건,13,00.0/2,50.0/2,00.0/3,00.0/2,00.0/2,50.0/2,062,6.29,46.4,67.9,김민천/2111,권명호/261,099,5.42,35.5,,
6,이현준,13,100.0/2,50.0/2,66.7/3,100.0/2,100.0/2,100.0/2,087,4.88,20.6,50.0,김도휘/122,손제민/556,044,4.68,28.0,,
제 02경주  (일반  12:03    플라잉   2주회1200m),,,,,,,,,,,,,,,,,,,
번,등,기,선수명,성,나,체,최근 6회차 성적,,,,,,최근8경주,연간누적성적,,F/L,사고점,금일,금회성적
호,급,수,,별,이,중,평균,평균,승률,연대율,,평균,착순,평균,연대율,,,출주,(1일째)
,,,,,,,착순점,득점,,2,3,ST/OST,,착순점,,,,경주,
1,A2,8,정주현,남,40,53,7.11,6.95,36.8,63.2,73.7,0.20,2611 5141,5.90,45.9,F0L0,0.16,13,
2,B1,14,조규태,남,38,57,3.50,2.25,5.6,5.6,27.8,0.21,5614 4365,4.26,18.0,F1L0,1.77,11,
3,A1,1,서화모,남,50,54,4.68,4.37,5.3,21.1,52.6,0.24,6640 2536,5.62,34.6,F0L0,0.4,9,
4,B1,2,김재윤,남,45,57,4.58,4.34,15.8,15.8,36.8,0.29,6664 3533,4.33,13.8,F0L0,0.16,,
5,A2,1,정용진,남,52,56,4.94,4.50,17.6,35.3,47.1,0.19,2214 0641,5.55,43.4,F0L0,0.5,10,
6,B1,2,사재준,남,50,62,5.89,5.72,16.7,38.9,55.6,0.22,3434 3125,4.79,24.6,F0L0,0.19,14,
번호,선수명,최근 6개월 연대율 및 코스별 성적,,,,,,,모터성적,,,,전 탑승,,보트성적,,,특이사항,
,,출주,1코스,2코스,3코스,4코스,5코스,6코스,번호,평균,연대율,,선수/착순,,번호,평균,연대율,,
,,횟수,,,,,,,,착순점,2,3,,,,착순점,,,
1,정주현,37,85.7/7,66.7/6,40.0/5,28.6/7,16.7/6,33.3/6,058,5.84,43.2,59.5,최인원/315,한종석/213,069,5.44,33.3,,
2,조규태,30,50.0/4,00.0/5,33.3/6,20.0/5,16.7/6,00.0/4,016,6.81,55.6,66.7,박준호/421,임태경/124,008,5.38,40.6,,
3,서화모,30,16.7/6,75.0/4,25.0/4,20.0/5,50.0/6,00.0/5,104,4.94,33.3,44.4,어선규/133,이상문/161,038,5.63,42.1,,
4,김재윤,35,20.0/5,33.3/6,16.7/6,00.0/7,25.0/4,00.0/7,018,5.09,37.5,46.9,김미연/66,박준현/655,086,3.85,20.0,,
5,정용진,42,100.0/7,33.3/6,62.5/8,83.3/6,00.0/7,37.5/8,056,6.24,48.3,62.1,김민천/63,심상철/1121,065,4.08,20.8,,
6,사재준,40,57.1/7,28.6/7,60.0/5,00.0/8,33.3/6,28.6/7,083,5.97,38.9,66.7,이주영/4222,정승호/014,067,5.91,47.8,,
제 03경주  (일반  12:26    플라잉   2주회1200m),,,,,,,,,,,,,,,,,,,
