,1번,2번,3번,4번,5번,6번
1경기,0.52,0.48,0.35,0.38,0.36,0.35
2경기,0.45,0.75,0.43,0.35,0.46,0.36
3경기,0.59,0.33,0.37,0.39,0.53,0.30
4경기,0.51,0.50,0.55,0.46,0.34,0.40
5경기,0.46,0.41,0.46,0.50,0.37,0.40
6경기,0.55,0.60,0.30,0.54,0.33,0.33
7경기,0.48,0.45,0.45,0.47,0.46,0.41
8경기,0.49,0.52,0.32,0.53,0.47,0.30
9경기,0.49,0.55,0.48,0.51,0.36,0.31
10경기,0.55,0.55,0.53,0.40,0.33,0.31
11경기,0.53,0.48,0.37,0.54,0.38,0.41
12경기,0.54,0.36,0.42,0.48,0.55,0.29
13경기,0.53,0.50,0.28,0.46,0.42,0.40
14경기,0.57,0.67,0.29,0.52,0.35,0.29
15경기,0.55,0.47,0.36,0.45,0.37,0.31
16경기,0.45,0.38,0.52,0.40,0.39,0.38
17경기,0.53,0.43,0.41,0.39,0.42,0.41
