복승_1번선수,복승_2번선수,복승_3번선수,복승_4번선수,복승_5번선수,복승_6번선수
0.0,0.0,2.0,0.0,1.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,2.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
0.0,2.0,0.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,1.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0
0.0,1.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0
0.0,0.0,0.0,1.0,2.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
0.0,2.0,0.0,1.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,2.0,0.0,1.0
1.0,0.0,0.0,2.0,0.0,0.0
0.0,2.0,1.0,0.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,1.0,2.0
0.0,0.0,1.0,0.0,2.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
0.0,2.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,1.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,2.0,0.0
2.0,0.0,0.0,0.0,1.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,2.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,1.0,2.0,0.0
0.0,0.0,0.0,1.0,0.0,2.0
0.0,0.0,1.0,0.0,2.0,0.0
0.0,0.0,1.0,0.0,2.0,0.0
0.0,0.0,1.0,2.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,2.0,0.0
0.0,1.0,0.0,0.0,2.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,2.0,0.0,0.0
0.0,2.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0
0.0,0.0,2.0,1.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,2.0,0.0
0.0,2.0,0.0,0.0,1.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,1.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,2.0
0.0,1.0,2.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,2.0,1.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0
0.0,2.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,1.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,1.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0
0.0,2.0,0.0,0.0,1.0,0.0
0.0,2.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,1.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,2.0
0.0,1.0,0.0,2.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,2.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,2.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,2.0
1.0,2.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0
0.0,2.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,2.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,1.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,2.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0
0.0,0.0,1.0,2.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,1.0
0.0,1.0,0.0,2.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,2.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
0.0,1.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0
0.0,2.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,2.0
1.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,2.0
1.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0
2.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,2.0,0.0
0.0,1.0,0.0,2.0,0.0,0.0
0.0,2.0,0.0,0.0,1.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,1.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,2.0,0.0,0.0
0.0,0.0,1.0,2.0,0.0,0.0
0.0,2.0,1.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,1.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,2.0
0.0,2.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,2.0
2.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,2.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,1.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0
0.0,1.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
0.0,2.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,2.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,1.0
1.0,2.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,2.0,0.0
0.0,0.0,2.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,2.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0
0.0,0.0,0.0,2.0,1.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,2.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,2.0,0.0
